compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
clang++,final,-O0,asan,10,373.215,371.589,373.886,9814,9740,13028,3.8479,3.7522,3.8738
clang++,final,-O0,baseline,10,96.990,96.361,99.363,3786,3736,3840,,,
clang++,final,-O0,execstack,10,96.605,96.320,98.424,3806,3722,3872,0.9960,0.9719,1.0173
clang++,final,-O0,fortify1,10,96.429,96.332,100.895,3844,3752,3884,0.9942,0.9702,1.0403
clang++,final,-O0,fortify2,10,96.446,96.368,97.866,3786,3756,3876,0.9944,0.9706,1.0064
clang++,final,-O0,fortify_off,10,96.283,96.224,96.372,3782,3742,3840,0.9927,0.9690,0.9991
clang++,final,-O0,lto,10,96.755,96.388,100.176,3812,3748,3872,0.9976,0.9722,1.0314
clang++,final,-O0,msan,10,595.729,590.299,608.336,8552,8488,8598,6.1421,5.9617,6.2113
clang++,final,-O0,no_pie,10,98.630,96.998,99.840,3760,3736,3808,1.0169,0.9795,1.0333
clang++,final,-O0,no_plt,10,97.359,96.087,100.708,3808,3756,3818,1.0038,0.9683,1.0347
clang++,final,-O0,no_stack_protector,10,97.886,96.393,99.334,3778,3684,3808,1.0092,0.9715,1.0280
clang++,final,-O0,noexecstack,10,96.373,96.280,96.642,3818,3752,3876,0.9936,0.9699,1.0005
clang++,final,-O0,pie,10,96.990,96.425,99.243,3750,3684,3876,1.0000,0.9721,1.0273
clang++,final,-O0,relro_full,10,96.482,96.339,99.188,3756,3748,3840,0.9948,0.9706,1.0231
clang++,final,-O0,safe_stack,10,99.751,98.981,114.743,3836,3824,3880,1.0285,0.9991,1.1868
clang++,final,-O0,stack_protector,10,96.927,96.627,100.353,3750,3714,3784,0.9994,0.9745,1.0327
clang++,final,-O0,stack_protector_all,10,97.222,96.710,100.854,3752,3744,3792,1.0024,0.9756,1.0366
clang++,final,-O0,stack_protector_strong,10,98.283,96.672,103.441,3784,3752,3842,1.0133,0.9759,1.0661
clang++,final,-O0,ubsan,10,108.534,105.827,109.211,4132,4132,4200,1.1190,1.0776,1.1290
clang++,final,-O1,asan,10,364.351,361.702,382.462,12928,9744,14936,3.9777,3.8383,4.2131
clang++,final,-O1,baseline,10,91.599,90.157,95.323,3820,3794,3878,,,
clang++,final,-O1,execstack,10,90.085,89.948,93.259,3784,3748,3808,0.9835,0.9536,1.0242
clang++,final,-O1,fortify1,10,64.210,64.039,65.416,3808,3748,3876,0.7010,0.6767,0.7137
clang++,final,-O1,fortify2,10,63.989,63.837,64.179,3840,3752,3914,0.6986,0.6760,0.7104
clang++,final,-O1,fortify_off,10,90.246,89.966,94.702,3780,3712,3846,0.9852,0.9545,1.0427
clang++,final,-O1,lto,10,90.030,89.978,93.516,3752,3688,3828,0.9829,0.9534,1.0229
clang++,final,-O1,msan,10,558.611,556.792,576.420,7652,6672,8632,6.0984,5.8624,6.2644
clang++,final,-O1,no_pie,10,90.578,90.097,92.946,3808,3764,3878,0.9888,0.9555,1.0289
clang++,final,-O1,no_plt,10,88.423,88.046,88.777,3844,3764,3914,0.9653,0.9340,0.9832
clang++,final,-O1,no_stack_protector,10,90.077,89.983,91.818,3804,3748,3812,0.9834,0.9448,1.0010
clang++,final,-O1,noexecstack,10,93.243,91.787,95.485,3786,3762,3848,1.0179,0.9791,1.0399
clang++,final,-O1,pie,10,91.359,90.095,93.637,3820,3752,3876,0.9974,0.9563,1.0329
clang++,final,-O1,relro_full,10,90.127,89.899,90.778,3770,3756,3880,0.9839,0.9525,1.0029
clang++,final,-O1,safe_stack,10,90.221,90.057,90.584,3836,3832,3838,0.9850,0.9468,1.0017
clang++,final,-O1,stack_protector,10,92.974,90.433,94.649,3808,3752,3876,1.0150,0.9628,1.0418
clang++,final,-O1,stack_protector_all,10,90.594,90.043,93.105,3854,3732,3878,0.9890,0.9549,1.0294
clang++,final,-O1,stack_protector_strong,10,90.172,89.989,92.608,3784,3684,3842,0.9844,0.9542,1.0177
clang++,final,-O1,ubsan,10,90.659,90.314,92.878,4130,4066,6176,0.9897,0.9582,1.0204
clang++,final,-O2,asan,10,363.479,361.523,368.029,11846,9936,14016,3.9517,3.8682,4.0690
clang++,final,-O2,baseline,10,91.980,90.255,93.598,3802,3748,3838,,,
clang++,final,-O2,execstack,10,90.350,89.945,93.659,3756,3708,3812,0.9823,0.9619,1.0361
clang++,final,-O2,fortify1,10,63.931,63.625,68.400,3810,3752,3852,0.6951,0.6818,0.7322
clang++,final,-O2,fortify2,10,64.043,63.939,67.055,3786,3744,3840,0.6963,0.6838,0.7178
clang++,final,-O2,fortify_off,10,90.370,90.028,93.515,3778,3744,3876,0.9825,0.9631,1.0358
clang++,final,-O2,lto,10,90.048,89.932,93.699,3800,3746,3816,0.9790,0.9613,1.0378
clang++,final,-O2,msan,10,558.173,555.155,577.310,8566,6636,8612,6.0684,5.9376,6.3805
clang++,final,-O2,no_pie,10,91.797,90.053,99.857,3804,3752,3840,0.9980,0.9640,1.1030
clang++,final,-O2,no_plt,10,89.507,88.098,90.167,3844,3744,3914,0.9731,0.9426,0.9972
clang++,final,-O2,no_stack_protector,10,90.034,89.907,90.341,3764,3748,3808,0.9788,0.9615,0.9989
clang++,final,-O2,noexecstack,10,90.693,90.060,92.492,3782,3680,3844,0.9860,0.9638,1.0129
clang++,final,-O2,pie,10,90.314,90.019,92.314,3808,3744,3844,0.9819,0.9634,1.0153
clang++,final,-O2,relro_full,10,90.385,90.040,92.229,3744,3676,3812,0.9827,0.9633,1.0142
clang++,final,-O2,safe_stack,10,90.084,90.049,95.609,3836,3832,3848,0.9794,0.9623,1.0252
clang++,final,-O2,stack_protector,10,90.066,89.984,91.559,3786,3684,3842,0.9792,0.9620,1.0024
clang++,final,-O2,stack_protector_all,10,90.308,90.060,90.702,3720,3676,3808,0.9818,0.9634,1.0012
clang++,final,-O2,stack_protector_strong,10,90.305,89.979,92.999,3782,3744,3842,0.9818,0.9622,1.0297
clang++,final,-O2,ubsan,10,90.749,90.477,92.716,4136,4134,5160,0.9866,0.9688,1.0186
clang++,final,-O3,asan,10,362.294,361.073,363.335,12384,9348,13024,3.9664,3.8701,4.0016
clang++,final,-O3,baseline,10,91.341,90.594,93.585,3808,3752,3842,,,
clang++,final,-O3,execstack,10,90.008,89.941,91.278,3812,3746,3876,0.9854,0.9618,1.0012
clang++,final,-O3,fortify1,10,64.035,63.932,64.257,3778,3676,3812,0.7011,0.6842,0.7078
clang++,final,-O3,fortify2,10,63.934,63.402,64.186,3804,3744,3842,0.7000,0.6816,0.7065
clang++,final,-O3,fortify_off,10,93.385,89.985,93.607,3804,3748,3844,1.0224,0.9716,1.0314
clang++,final,-O3,lto,10,90.094,89.948,93.763,3874,3764,3882,0.9863,0.9623,1.0266
clang++,final,-O3,msan,10,557.504,554.983,562.707,8614,6736,8740,6.1035,5.9492,6.1605
clang++,final,-O3,no_pie,10,90.316,89.977,92.925,3786,3730,3842,0.9888,0.9634,1.0167
clang++,final,-O3,no_plt,10,88.225,88.090,89.945,3778,3752,3820,0.9659,0.9424,0.9885
clang++,final,-O3,no_stack_protector,10,90.016,89.931,90.735,3808,3744,3850,0.9855,0.9619,0.9973
clang++,final,-O3,noexecstack,10,93.417,90.026,93.806,3756,3742,3880,1.0227,0.9645,1.0322
clang++,final,-O3,pie,10,91.947,90.232,94.306,3808,3756,3852,1.0066,0.9674,1.0301
clang++,final,-O3,relro_full,10,90.071,89.986,91.464,3780,3718,3876,0.9861,0.9621,1.0063
