compiler,program,opt,flag_id,sweep,is_warmup,wall_s,user_s,sys_s,max_rss_kb,exit_code,term_signal,output_ok,epoch_s
g++,suma,-O0,baseline,0,1,0.835551,0.831344,0.003996,6896,0,,1,1783529746
g++,suma,-O0,pie,0,1,0.819595,0.811466,0.007994,6724,0,,1,1783529747
g++,suma,-O0,no_pie,0,1,0.914093,0.913974,0.0,6784,0,,1,1783529747
g++,suma,-O0,fortify1,0,1,0.804292,0.800167,0.004,6920,0,,1,1783529748
g++,suma,-O0,fortify2,0,1,0.782643,0.782548,0.0,6852,0,,1,1783529749
g++,suma,-O0,fortify_off,0,1,0.800464,0.796326,0.004001,7004,0,,1,1783529750
g++,suma,-O0,noexecstack,0,1,0.813031,0.812912,0.0,6728,0,,1,1783529751
g++,suma,-O0,execstack,0,1,0.824444,0.812379,0.011946,6912,0,,1,1783529751
g++,suma,-O0,relro_full,0,1,0.777546,0.777422,0.0,6828,0,,1,1783529752
g++,suma,-O0,no_stack_protector,0,1,0.799456,0.795369,0.003996,6928,0,,1,1783529753
g++,suma,-O0,stack_protector,0,1,0.801402,0.801295,0.0,6968,0,,1,1783529754
g++,suma,-O0,stack_protector_strong,0,1,0.803691,0.803588,0.0,6920,0,,1,1783529755
g++,suma,-O0,stack_protector_all,0,1,1.00063,0.992537,0.007972,6912,0,,1,1783529756
g++,suma,-O0,no_plt,0,1,0.79706,0.796936,0.0,6936,0,,1,1783529756
g++,suma,-O0,asan,0,1,1.330091,1.317928,0.011962,16288,0,,1,1783529758
g++,suma,-O0,ubsan,0,1,1.607158,1.606988,0.0,7096,0,,1,1783529759
g++,suma,-O1,baseline,0,1,0.084202,0.080104,0.004005,6832,0,,1,1783529759
g++,suma,-O1,pie,0,1,0.086934,0.086827,0.0,6892,0,,1,1783529760
g++,suma,-O1,no_pie,0,1,0.081353,0.081267,0.0,6876,0,,1,1783529760
g++,suma,-O1,fortify1,0,1,0.085027,0.08108,0.00386,6796,0,,1,1783529760
g++,suma,-O1,fortify2,0,1,0.083443,0.083351,0.0,6784,0,,1,1783529760
g++,suma,-O1,fortify_off,0,1,0.083351,0.08325,0.0,6832,0,,1,1783529760
g++,suma,-O1,noexecstack,0,1,0.083523,0.079457,0.003972,6728,0,,1,1783529760
g++,suma,-O1,execstack,0,1,0.083546,0.079483,0.003974,6856,0,,1,1783529760
g++,suma,-O1,relro_full,0,1,0.083851,0.083757,0.0,6904,0,,1,1783529760
g++,suma,-O1,no_stack_protector,0,1,0.091252,0.091169,0.0,6892,0,,1,1783529760
g++,suma,-O1,stack_protector,0,1,0.084018,0.083937,0.0,6888,0,,1,1783529760
g++,suma,-O1,stack_protector_strong,0,1,0.0886,0.088511,0.0,6780,0,,1,1783529760
g++,suma,-O1,stack_protector_all,0,1,0.086845,0.08675,0.0,6836,0,,1,1783529761
g++,suma,-O1,no_plt,0,1,0.083572,0.079512,0.003975,6936,0,,1,1783529761
g++,suma,-O1,asan,0,1,0.243328,0.227379,0.015809,16368,0,,1,1783529761
g++,suma,-O1,ubsan,0,1,0.307235,0.307106,0.0,7032,0,,1,1783529761
g++,suma,-O2,baseline,0,1,0.043557,0.043471,0.0,6872,0,,1,1783529761
g++,suma,-O2,pie,0,1,0.042492,0.038554,0.003855,6892,0,,1,1783529761
g++,suma,-O2,no_pie,0,1,0.042253,0.042165,0.0,6728,0,,1,1783529761
g++,suma,-O2,fortify1,0,1,0.042432,0.042335,0.0,6872,0,,1,1783529761
g++,suma,-O2,fortify2,0,1,0.042289,0.038372,0.003837,6936,0,,1,1783529761
g++,suma,-O2,fortify_off,0,1,0.042756,0.04267,0.0,6876,0,,1,1783529761
g++,suma,-O2,noexecstack,0,1,0.042378,0.038443,0.003844,6852,0,,1,1783529761
g++,suma,-O2,execstack,0,1,0.042425,0.042327,0.0,6856,0,,1,1783529762
g++,suma,-O2,relro_full,0,1,0.04259,0.038639,0.003863,6828,0,,1,1783529762
g++,suma,-O2,no_stack_protector,0,1,0.042223,0.042142,0.0,6908,0,,1,1783529762
g++,suma,-O2,stack_protector,0,1,0.043895,0.039833,0.003983,6856,0,,1,1783529762
g++,suma,-O2,stack_protector_strong,0,1,0.042262,0.04218,0.0,6896,0,,1,1783529762
g++,suma,-O2,stack_protector_all,0,1,0.044396,0.044309,0.0,6944,0,,1,1783529762
g++,suma,-O2,no_plt,0,1,0.042343,0.038415,0.003841,6732,0,,1,1783529762
g++,suma,-O2,asan,0,1,0.213861,0.209624,0.004068,16384,0,,1,1783529762
g++,suma,-O2,ubsan,0,1,0.418026,0.417886,0.0,7100,0,,1,1783529762
g++,suma,-O3,baseline,0,1,0.04263,0.042543,0.0,6880,0,,1,1783529762
g++,suma,-O3,pie,0,1,0.042619,0.04253,0.0,6832,0,,1,1783529762
g++,suma,-O3,no_pie,0,1,0.042786,0.038815,0.003881,6884,0,,1,1783529763
g++,suma,-O3,fortify1,0,1,0.042226,0.038308,0.00383,6916,0,,1,1783529763
g++,suma,-O3,fortify2,0,1,0.042303,0.03838,0.003838,7008,0,,1,1783529763
g++,suma,-O3,fortify_off,0,1,0.044022,0.039941,0.003994,6956,0,,1,1783529763
g++,suma,-O3,noexecstack,0,1,0.042557,0.038611,0.003861,6888,0,,1,1783529763
g++,suma,-O3,execstack,0,1,0.042695,0.04261,0.0,6900,0,,1,1783529763
g++,suma,-O3,relro_full,0,1,0.04229,0.042202,0.0,6780,0,,1,1783529763
g++,suma,-O3,no_stack_protector,0,1,0.042735,0.042642,0.0,6908,0,,1,1783529763
g++,suma,-O3,stack_protector,0,1,0.042824,0.042732,0.0,6856,0,,1,1783529763
g++,suma,-O3,stack_protector_strong,0,1,0.042453,0.04238,0.0,6836,0,,1,1783529763
g++,suma,-O3,stack_protector_all,0,1,0.042216,0.042122,0.0,6892,0,,1,1783529763
g++,suma,-O3,no_plt,0,1,0.043929,0.043839,0.0,6956,0,,1,1783529763
g++,suma,-O3,asan,0,1,0.213937,0.205816,0.007981,16156,0,,1,1783529763
g++,suma,-O3,ubsan,0,1,0.417695,0.417558,0.0,6844,0,,1,1783529764
g++,suma,-Os,baseline,0,1,0.088687,0.084579,0.004027,6888,0,,1,1783529764
g++,suma,-Os,pie,0,1,0.088887,0.084927,0.00386,6928,0,,1,1783529764
g++,suma,-Os,no_pie,0,1,0.122223,0.122116,0.0,6832,0,,1,1783529764
g++,suma,-Os,fortify1,0,1,0.08874,0.088648,0.0,6864,0,,1,1783529764
g++,suma,-Os,fortify2,0,1,0.08885,0.084721,0.004034,6752,0,,1,1783529764
g++,suma,-Os,fortify_off,0,1,0.088555,0.088472,0.0,7012,0,,1,1783529764
g++,suma,-Os,noexecstack,0,1,0.090162,0.082242,0.007832,6832,0,,1,1783529764
g++,suma,-Os,execstack,0,1,0.088969,0.08888,0.0,6696,0,,1,1783529764
g++,suma,-Os,relro_full,0,1,0.088816,0.084867,0.003857,6872,0,,1,1783529765
g++,suma,-Os,no_stack_protector,0,1,0.089538,0.089453,0.0,6852,0,,1,1783529765
g++,suma,-Os,stack_protector,0,1,0.088695,0.084768,0.003853,6884,0,,1,1783529765
g++,suma,-Os,stack_protector_strong,0,1,0.08875,0.088663,0.0,6792,0,,1,1783529765
g++,suma,-Os,stack_protector_all,0,1,0.088952,0.084996,0.003863,6732,0,,1,1783529765
g++,suma,-Os,no_plt,0,1,0.089262,0.089176,0.0,6896,0,,1,1783529765
g++,suma,-Os,asan,0,1,0.227002,0.222843,0.004024,16356,0,,1,1783529765
g++,suma,-Os,ubsan,0,1,0.440169,0.436032,0.004,7016,0,,1,1783529766
g++,final,-O0,baseline,0,1,0.098362,0.098289,0.0,1608,0,,1,1783529766
g++,final,-O0,pie,0,1,0.09857,0.098487,0.0,1672,0,,1,1783529766
g++,final,-O0,no_pie,0,1,0.100389,0.092577,0.007714,1408,0,,1,1783529766
g++,final,-O0,fortify1,0,1,0.101383,0.101289,0.0,1472,0,,1,1783529766
g++,final,-O0,fortify2,0,1,0.10154,0.101448,0.0,1680,0,,1,1783529766
g++,final,-O0,fortify_off,0,1,0.101907,0.101819,0.0,1684,0,,1,1783529766
g++,final,-O0,noexecstack,0,1,0.102353,0.10226,0.0,1464,0,,1,1783529766
g++,final,-O0,execstack,0,1,0.098581,0.098507,0.0,1672,0,,1,1783529766
g++,final,-O0,relro_full,0,1,0.09829,0.098217,0.0,1676,0,,1,1783529767
g++,final,-O0,no_stack_protector,0,1,0.101422,0.101342,0.0,1676,0,,1,1783529767
g++,final,-O0,stack_protector,0,1,0.101463,0.101387,0.0,1568,0,,1,1783529767
g++,final,-O0,stack_protector_strong,0,1,0.101336,0.101254,0.0,1528,0,,1,1783529767
g++,final,-O0,stack_protector_all,0,1,0.098402,0.098316,0.0,1676,0,,1,1783529767
g++,final,-O0,no_plt,0,1,0.098429,0.094407,0.003933,1460,0,,1,1783529767
g++,final,-O0,asan,0,1,0.41007,0.405868,0.004043,13432,0,,1,1783529767
g++,final,-O0,ubsan,0,1,0.107423,0.10731,0.0,3936,0,,1,1783529768
g++,final,-O1,baseline,0,1,0.089344,0.089269,0.0,1672,0,,1,1783529768
g++,final,-O1,pie,0,1,0.08927,0.089191,0.0,1608,0,,1,1783529768
g++,final,-O1,no_pie,0,1,0.089341,0.089263,0.0,1540,0,,1,1783529768
g++,final,-O1,fortify1,0,1,0.078225,0.078124,0.0,1512,0,,1,1783529768
g++,final,-O1,fortify2,0,1,0.073705,0.073612,0.0,1572,0,,1,1783529768
g++,final,-O1,fortify_off,0,1,0.092739,0.09266,0.0,1524,0,,1,1783529768
