compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
g++,suma,-O0,baseline,,g++ /app/programs/suma.cpp -O0 -o /tmp/tmpioo4cybl/g++__suma__O0__baseline,1,1.848,0.242,0.03,45656,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,pie,-fPIE -pie,g++ /app/programs/suma.cpp -O0 -fPIE -pie -o /tmp/tmpioo4cybl/g++__suma__O0__pie,1,1.862,0.251,0.019,45576,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,no_pie,-no-pie,g++ /app/programs/suma.cpp -O0 -no-pie -o /tmp/tmpioo4cybl/g++__suma__O0__no_pie,1,1.901,0.239,0.029,45648,18984,14536,partial,no,yes,no,0,1,6a862c6b89117d610504d6bcef4f494c790038845ef26f31722102d914f8889f,
g++,suma,-O0,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/suma.cpp -O0 -D_FORTIFY_SOURCE=1 -o /tmp/tmpioo4cybl/g++__suma__O0__fortify1,1,1.913,0.237,0.035,45724,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/suma.cpp -O0 -D_FORTIFY_SOURCE=2 -o /tmp/tmpioo4cybl/g++__suma__O0__fortify2,1,1.905,0.248,0.023,45656,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/suma.cpp -O0 -U_FORTIFY_SOURCE -o /tmp/tmpioo4cybl/g++__suma__O0__fortify_off,1,1.954,0.235,0.039,45648,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,noexecstack,-z noexecstack,g++ /app/programs/suma.cpp -O0 -z noexecstack -o /tmp/tmpioo4cybl/g++__suma__O0__noexecstack,1,1.925,0.239,0.035,45616,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,execstack,-z execstack,g++ /app/programs/suma.cpp -O0 -z execstack -o /tmp/tmpioo4cybl/g++__suma__O0__execstack,1,1.92,0.233,0.042,45732,19160,14608,partial,no,no,yes,0,1,cbff8eec5319341f9370998f77af70e71d95edcb8d94898e4b98a022d7a9e014,
g++,suma,-O0,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/suma.cpp -O0 -Wl,-z,relro,-z,now -o /tmp/tmpioo4cybl/g++__suma__O0__relro_full",1,1.956,0.246,0.028,45592,19032,14480,full,no,yes,yes,0,1,47488c4117812ff9cbbb104ae744d1b0b8f7a4c65085bf0cb1e9da231ac321be,
g++,suma,-O0,no_stack_protector,-fno-stack-protector,g++ /app/programs/suma.cpp -O0 -fno-stack-protector -o /tmp/tmpioo4cybl/g++__suma__O0__no_stack_protector,1,1.903,0.242,0.031,45628,19160,14608,partial,no,yes,yes,0,1,03d1d02bf8a03f4ab9a808feca5a826979ddca650bcd36acbf77e7aa8067cf27,
g++,suma,-O0,stack_protector,-fstack-protector,g++ /app/programs/suma.cpp -O0 -fstack-protector -o /tmp/tmpioo4cybl/g++__suma__O0__stack_protector,1,1.905,0.248,0.023,45852,19160,14608,partial,no,yes,yes,0,1,002fc33b8056f148d05527b13624ef60d4b905253074a530d8db64c58c24982b,
g++,suma,-O0,stack_protector_strong,-fstack-protector-strong,g++ /app/programs/suma.cpp -O0 -fstack-protector-strong -o /tmp/tmpioo4cybl/g++__suma__O0__stack_protector_strong,1,1.908,0.244,0.03,46876,19216,14616,partial,yes,yes,yes,0,1,de52f85ecf97baba28b40608075a09d2ab6ddb7bfadeed012eb44b59e548b499,
g++,suma,-O0,stack_protector_all,-fstack-protector-all,g++ /app/programs/suma.cpp -O0 -fstack-protector-all -o /tmp/tmpioo4cybl/g++__suma__O0__stack_protector_all,1,1.925,0.23,0.046,46988,19216,14616,partial,yes,yes,yes,0,1,00c3a49a11299fb2e59b8dda7f33623cbd6125a63eac06efac39bebddfd77bed,
g++,suma,-O0,no_plt,-fno-plt,g++ /app/programs/suma.cpp -O0 -fno-plt -o /tmp/tmpioo4cybl/g++__suma__O0__no_plt,1,1.892,0.265,0.01,45584,19024,14480,partial,no,yes,yes,0,1,fb4e70d8318add4a6dfa6645d05fd702472da8ec072128794b51e066b159a185,
g++,suma,-O0,asan,-fsanitize=address,g++ /app/programs/suma.cpp -O0 -fsanitize=address -o /tmp/tmpioo4cybl/g++__suma__O0__asan,1,1.999,0.263,0.025,47924,33120,19032,partial,no,yes,yes,0,1,bc4232977c68b1068b3966d1b4633348c15d05903bda1a3ba091125c01323bbd,
g++,suma,-O0,ubsan,-fsanitize=undefined,g++ /app/programs/suma.cpp -O0 -fsanitize=undefined -o /tmp/tmpioo4cybl/g++__suma__O0__ubsan,1,2.033,0.263,0.03,48540,31136,26424,partial,no,yes,yes,0,1,8630f8804bfb7b07b07e7e0252bf4d54c2e0d2323b44415013e7d6eee933dc92,
g++,suma,-O0,hardening_baseline,"-fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie","g++ /app/programs/suma.cpp -O0 -fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie -o /tmp/tmpioo4cybl/g++__suma__O0__hardening_baseline",1,1.93,0.241,0.031,46848,19080,14480,full,yes,yes,yes,0,1,b5ae4c6c3130856c06cbfdc557e9bbab5727212fc74df005d2e374c1e2518ce7,
g++,suma,-O1,baseline,,g++ /app/programs/suma.cpp -O1 -o /tmp/tmpioo4cybl/g++__suma__O1__baseline,1,1.838,0.246,0.02,46224,16312,14584,partial,no,yes,yes,0,1,724ffee7728fc6fb8fc0cc399b0937329cd1830fa4059962118a4d0e56d97f5f,
