compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
clang++,final,-O0,asan,50,756.688,756.347,756.990,11766,10756,12804,2.9879,2.9855,2.9898
clang++,final,-O0,baseline,50,253.254,253.118,253.426,3808,3778,3812,,,
clang++,final,-O0,execstack,50,253.425,253.215,253.707,3808,3800,3812,1.0007,0.9996,1.0019
clang++,final,-O0,fortify1,50,253.240,253.127,253.456,3804,3754,3808,0.9999,0.9991,1.0009
clang++,final,-O0,fortify2,50,253.409,253.257,253.611,3808,3770,3832,1.0006,0.9998,1.0016
clang++,final,-O0,fortify_off,50,253.437,253.206,253.689,3762,3748,3812,1.0007,0.9995,1.0018
clang++,final,-O0,hardening_baseline,50,252.210,252.202,252.225,3768,3752,3808,0.9959,0.9952,0.9964
clang++,final,-O0,lto,50,253.380,253.185,253.521,3806,3752,3818,1.0005,0.9996,1.0013
clang++,final,-O0,msan,50,1481.595,1480.846,1482.484,8554,6784,8586,5.8502,5.8451,5.8551
clang++,final,-O0,no_pie,50,252.219,252.208,252.238,3806,3764,3812,0.9959,0.9953,0.9965
clang++,final,-O0,no_plt,50,247.796,247.776,247.868,3802,3764,3810,0.9784,0.9778,0.9791
clang++,final,-O0,no_stack_protector,50,253.255,253.185,253.566,3802,3752,3808,1.0000,0.9992,1.0011
clang++,final,-O0,noexecstack,50,253.275,253.178,253.400,3806,3742,3812,1.0001,0.9993,1.0008
clang++,final,-O0,pie,50,253.304,253.216,253.484,3802,3764,3808,1.0002,0.9995,1.0012
clang++,final,-O0,relro_full,50,253.035,252.849,253.203,3766,3760,3808,0.9991,0.9981,1.0000
clang++,final,-O0,safe_stack,50,258.223,258.212,258.230,3840,3836,3896,1.0196,1.0189,1.0202
clang++,final,-O0,stack_protector,50,252.215,252.207,252.226,3810,3804,3850,0.9959,0.9952,0.9964
clang++,final,-O0,stack_protector_all,50,252.214,252.207,252.225,3798,3752,3808,0.9959,0.9952,0.9964
clang++,final,-O0,stack_protector_strong,50,252.219,252.206,252.225,3768,3748,3808,0.9959,0.9952,0.9964
clang++,final,-O0,ubsan,50,283.791,283.329,284.125,4160,4140,4204,1.1206,1.1187,1.1221
clang++,final,-O1,asan,50,749.348,749.008,749.551,11838,11754,12768,2.9367,2.9353,2.9375
clang++,final,-O1,baseline,50,255.171,255.159,255.175,3764,3748,3810,,,
clang++,final,-O1,execstack,50,255.171,255.157,255.178,3786,3748,3812,1.0000,0.9999,1.0001
clang++,final,-O1,fortify1,50,431.437,431.104,431.907,3804,3752,3812,1.6908,1.6895,1.6926
clang++,final,-O1,fortify2,50,431.334,431.059,431.647,3782,3758,3810,1.6904,1.6893,1.6916
clang++,final,-O1,fortify_off,50,255.159,255.154,255.166,3786,3748,3828,1.0000,0.9999,1.0000
clang++,final,-O1,hardening_baseline,50,432.508,432.055,432.860,3764,3748,3808,1.6950,1.6932,1.6964
clang++,final,-O1,lto,50,255.161,255.156,255.172,3758,3748,3808,1.0000,0.9999,1.0000
clang++,final,-O1,msan,50,1438.224,1437.903,1438.688,6782,6744,8576,5.6363,5.6351,5.6381
clang++,final,-O1,no_pie,50,255.156,255.145,255.162,3764,3748,3806,0.9999,0.9999,1.0000
clang++,final,-O1,no_plt,50,216.803,216.794,216.810,3804,3752,3808,0.8496,0.8496,0.8497
clang++,final,-O1,no_stack_protector,50,255.164,255.154,255.171,3782,3752,3810,1.0000,0.9999,1.0000
clang++,final,-O1,noexecstack,50,255.159,255.155,255.169,3804,3752,3822,1.0000,0.9999,1.0000
clang++,final,-O1,pie,50,255.169,255.154,255.182,3802,3764,3808,1.0000,0.9999,1.0001
clang++,final,-O1,relro_full,50,255.162,255.149,255.167,3764,3750,3808,1.0000,0.9999,1.0000
clang++,final,-O1,safe_stack,50,255.286,255.273,255.297,3840,3836,3888,1.0005,1.0004,1.0005
clang++,final,-O1,stack_protector,50,255.161,255.156,255.171,3804,3752,3808,1.0000,0.9999,1.0000
clang++,final,-O1,stack_protector_all,50,255.163,255.156,255.174,3808,3752,3824,1.0000,0.9999,1.0000
clang++,final,-O1,stack_protector_strong,50,255.171,255.158,255.178,3808,3764,3824,1.0000,1.0000,1.0001
clang++,final,-O1,ubsan,50,250.289,249.642,250.973,4192,4136,4228,0.9809,0.9783,0.9836
clang++,final,-O2,asan,50,749.385,748.923,749.794,11766,10820,12780,2.9368,2.9351,2.9384
clang++,final,-O2,baseline,50,255.171,255.162,255.182,3806,3786,3812,,,
clang++,final,-O2,execstack,50,255.168,255.165,255.174,3804,3752,3808,1.0000,0.9999,1.0000
clang++,final,-O2,fortify1,50,431.216,430.986,431.398,3768,3748,3808,1.6899,1.6890,1.6906
clang++,final,-O2,fortify2,50,431.305,430.967,431.463,3812,3760,3812,1.6903,1.6889,1.6909
clang++,final,-O2,fortify_off,50,255.162,255.149,255.174,3808,3758,3812,1.0000,0.9999,1.0000
clang++,final,-O2,hardening_baseline,50,432.238,431.870,432.465,3808,3752,3830,1.6939,1.6925,1.6948
clang++,final,-O2,lto,50,255.161,255.154,255.169,3808,3782,3812,1.0000,0.9999,1.0000
clang++,final,-O2,msan,50,1439.358,1438.809,1439.810,6784,6758,8546,5.6408,5.6385,5.6426
clang++,final,-O2,no_pie,50,255.156,255.144,255.164,3808,3784,3814,0.9999,0.9999,1.0000
clang++,final,-O2,no_plt,50,216.802,216.791,216.814,3808,3756,3820,0.8496,0.8496,0.8497
clang++,final,-O2,no_stack_protector,50,255.153,255.146,255.167,3774,3748,3812,0.9999,0.9999,1.0000
clang++,final,-O2,noexecstack,50,255.167,255.161,255.174,3804,3758,3810,1.0000,0.9999,1.0000
clang++,final,-O2,pie,50,255.161,255.152,255.173,3808,3760,3812,1.0000,0.9999,1.0000
clang++,final,-O2,relro_full,50,255.161,255.151,255.170,3802,3752,3808,1.0000,0.9999,1.0000
