compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
clang++,final,-O0,asan,50,756.748,756.451,757.248,9866,9730,11742,2.9847,2.9826,2.9880
clang++,final,-O0,baseline,50,253.541,253.291,253.656,3804,3760,3808,,,
clang++,final,-O0,execstack,50,253.238,253.131,253.421,3792,3752,3812,0.9988,0.9981,1.0001
clang++,final,-O0,fortify1,50,253.397,253.274,253.484,3808,3768,3830,0.9994,0.9987,1.0004
clang++,final,-O0,fortify2,50,253.400,253.266,253.579,3784,3748,3808,0.9994,0.9988,1.0006
clang++,final,-O0,fortify_off,50,253.399,253.316,253.623,3812,3784,3874,0.9994,0.9988,1.0007
clang++,final,-O0,hardening_baseline,50,252.249,252.237,252.262,3804,3756,3810,0.9949,0.9944,0.9959
clang++,final,-O0,lto,50,253.345,253.238,253.575,3806,3764,3810,0.9992,0.9986,1.0003
clang++,final,-O0,msan,50,1480.614,1479.629,1481.345,6614,6590,7622,5.8397,5.8348,5.8457
clang++,final,-O0,no_pie,50,252.255,252.242,252.306,3810,3768,3812,0.9949,0.9945,0.9959
clang++,final,-O0,no_plt,50,247.826,247.812,247.843,3764,3748,3806,0.9775,0.9770,0.9784
clang++,final,-O0,no_stack_protector,50,253.237,253.115,253.391,3808,3758,3820,0.9988,0.9981,1.0000
clang++,final,-O0,noexecstack,50,253.435,253.233,253.595,3808,3804,3824,0.9996,0.9987,1.0006
clang++,final,-O0,pie,50,253.315,253.250,253.450,3800,3756,3810,0.9991,0.9986,1.0002
clang++,final,-O0,relro_full,50,253.074,252.824,253.492,3764,3748,3804,0.9982,0.9970,1.0001
clang++,final,-O0,safe_stack,50,258.240,258.236,258.258,3836,3832,3840,1.0185,1.0181,1.0195
clang++,final,-O0,stack_protector,50,252.243,252.238,252.259,3800,3752,3808,0.9949,0.9944,0.9959
clang++,final,-O0,stack_protector_all,50,252.232,252.228,252.247,3802,3758,3808,0.9948,0.9944,0.9958
clang++,final,-O0,stack_protector_strong,50,252.249,252.232,252.260,3804,3754,3810,0.9949,0.9944,0.9959
clang++,final,-O0,ubsan,50,283.915,283.624,284.157,4192,4136,4230,1.1198,1.1185,1.1212
clang++,final,-O1,asan,50,749.752,749.418,749.941,9854,9764,10916,2.9380,2.9366,2.9387
clang++,final,-O1,baseline,50,255.194,255.188,255.205,3776,3746,3808,,,
clang++,final,-O1,execstack,50,255.191,255.177,255.201,3786,3752,3812,1.0000,0.9999,1.0000
clang++,final,-O1,fortify1,50,431.341,431.034,431.658,3762,3748,3808,1.6902,1.6890,1.6915
clang++,final,-O1,fortify2,50,431.295,430.963,431.642,3804,3752,3808,1.6901,1.6888,1.6914
clang++,final,-O1,fortify_off,50,255.192,255.186,255.200,3812,3808,3828,1.0000,0.9999,1.0000
clang++,final,-O1,hardening_baseline,50,432.746,432.318,433.015,3808,3788,3812,1.6958,1.6940,1.6966
clang++,final,-O1,lto,50,255.185,255.176,255.189,3804,3764,3818,1.0000,0.9999,1.0000
clang++,final,-O1,msan,50,1437.731,1437.184,1438.241,6732,6608,6738,5.6339,5.6317,5.6358
clang++,final,-O1,no_pie,50,255.179,255.173,255.191,3758,3750,3808,0.9999,0.9999,1.0000
clang++,final,-O1,no_plt,50,216.839,216.822,216.848,3808,3760,3828,0.8497,0.8496,0.8497
clang++,final,-O1,no_stack_protector,50,255.200,255.188,255.212,3804,3768,3810,1.0000,1.0000,1.0001
clang++,final,-O1,noexecstack,50,255.199,255.183,255.209,3808,3752,3814,1.0000,0.9999,1.0001
clang++,final,-O1,pie,50,255.184,255.177,255.200,3756,3748,3804,1.0000,0.9999,1.0000
clang++,final,-O1,relro_full,50,255.184,255.168,255.207,3752,3748,3812,1.0000,0.9999,1.0001
clang++,final,-O1,safe_stack,50,255.314,255.303,255.323,3836,3836,3888,1.0005,1.0004,1.0005
clang++,final,-O1,stack_protector,50,255.190,255.180,255.206,3804,3752,3820,1.0000,0.9999,1.0000
clang++,final,-O1,stack_protector_all,50,255.199,255.189,255.206,3808,3786,3816,1.0000,1.0000,1.0001
clang++,final,-O1,stack_protector_strong,50,255.199,255.191,255.208,3808,3764,3812,1.0000,1.0000,1.0001
clang++,final,-O1,ubsan,50,249.603,249.544,249.702,4170,4136,4216,0.9781,0.9779,0.9785
clang++,final,-O2,asan,50,749.314,748.948,749.670,9878,9760,11764,2.9361,2.9348,2.9376
clang++,final,-O2,baseline,50,255.204,255.194,255.212,3808,3752,3818,,,
clang++,final,-O2,execstack,50,255.195,255.187,255.204,3768,3748,3808,1.0000,0.9999,1.0000
clang++,final,-O2,fortify1,50,431.436,431.212,431.861,3804,3752,3812,1.6906,1.6897,1.6922
clang++,final,-O2,fortify2,50,431.207,430.781,431.434,3808,3792,3828,1.6897,1.6880,1.6906
clang++,final,-O2,fortify_off,50,255.198,255.176,255.203,3808,3768,3812,1.0000,0.9999,1.0000
clang++,final,-O2,hardening_baseline,50,431.896,431.774,432.273,3806,3756,3812,1.6924,1.6919,1.6939
clang++,final,-O2,lto,50,255.187,255.183,255.197,3808,3752,3816,0.9999,0.9999,1.0000
clang++,final,-O2,msan,50,1438.407,1437.912,1438.985,6736,6672,8488,5.6363,5.6343,5.6386
clang++,final,-O2,no_pie,50,255.186,255.176,255.193,3804,3764,3812,0.9999,0.9999,1.0000
