compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
clang++,final,-O0,asan,50,757.337,756.808,757.918,7844,7772,7890,2.9883,2.9855,2.9907
clang++,final,-O0,baseline,50,253.432,253.326,253.577,3804,3752,3812,,,
clang++,final,-O0,execstack,50,253.383,253.319,253.457,3784,3762,3820,0.9998,0.9991,1.0004
clang++,final,-O0,fortify1,50,253.346,253.245,253.513,3798,3748,3808,0.9997,0.9990,1.0005
clang++,final,-O0,fortify2,50,253.462,253.297,255.174,3808,3750,3820,1.0001,0.9993,1.0067
clang++,final,-O0,fortify_off,50,253.474,253.393,253.586,3808,3754,3820,1.0002,0.9995,1.0009
clang++,final,-O0,hardening_baseline,50,252.242,252.231,252.252,3808,3772,3812,0.9953,0.9947,0.9957
clang++,final,-O0,lto,50,253.458,253.377,253.579,3808,3762,3820,1.0001,0.9995,1.0008
clang++,final,-O0,msan,50,1480.803,1480.411,1481.131,6610,6558,6672,5.8430,5.8396,5.8457
clang++,final,-O0,no_pie,50,252.256,252.238,252.272,3800,3752,3808,0.9954,0.9948,0.9958
clang++,final,-O0,no_plt,50,247.825,247.805,247.839,3766,3752,3804,0.9779,0.9773,0.9783
clang++,final,-O0,no_stack_protector,50,253.469,253.310,253.655,3760,3748,3806,1.0001,0.9993,1.0010
clang++,final,-O0,noexecstack,50,253.484,253.298,254.474,3768,3754,3808,1.0002,0.9993,1.0038
clang++,final,-O0,pie,50,253.306,253.145,253.430,3804,3756,3816,0.9995,0.9987,1.0002
clang++,final,-O0,relro_full,50,252.954,252.771,253.190,3782,3748,3812,0.9981,0.9972,0.9991
clang++,final,-O0,safe_stack,50,258.245,258.238,258.258,3894,3836,3900,1.0190,1.0184,1.0194
clang++,final,-O0,stack_protector,50,252.243,252.234,252.258,3812,3808,3824,0.9953,0.9947,0.9957
clang++,final,-O0,stack_protector_all,50,252.245,252.237,252.257,3802,3752,3812,0.9953,0.9947,0.9957
clang++,final,-O0,stack_protector_strong,50,252.234,252.226,252.246,3758,3752,3810,0.9953,0.9947,0.9957
clang++,final,-O0,ubsan,50,283.943,283.796,284.300,4188,4136,4216,1.1204,1.1194,1.1219
clang++,final,-O1,asan,50,750.332,749.894,750.775,7772,7744,7864,2.9401,2.9384,2.9418
clang++,final,-O1,baseline,50,255.209,255.196,255.231,3804,3756,3812,,,
clang++,final,-O1,execstack,50,255.191,255.180,255.204,3760,3748,3808,0.9999,0.9998,1.0000
clang++,final,-O1,fortify1,50,431.240,430.906,431.497,3786,3754,3808,1.6898,1.6884,1.6908
clang++,final,-O1,fortify2,50,431.146,430.963,431.708,3764,3748,3808,1.6894,1.6887,1.6915
clang++,final,-O1,fortify_off,50,255.191,255.183,255.202,3762,3752,3804,0.9999,0.9998,1.0000
clang++,final,-O1,hardening_baseline,50,432.395,431.996,432.937,3806,3756,3828,1.6943,1.6927,1.6964
clang++,final,-O1,lto,50,255.201,255.192,255.211,3804,3766,3876,1.0000,0.9999,1.0000
clang++,final,-O1,msan,50,1438.511,1437.947,1439.164,6608,6574,6682,5.6366,5.6345,5.6393
clang++,final,-O1,no_pie,50,255.189,255.174,255.200,3790,3748,3812,0.9999,0.9998,1.0000
clang++,final,-O1,no_plt,50,216.827,216.822,216.841,3802,3764,3808,0.8496,0.8495,0.8497
clang++,final,-O1,no_stack_protector,50,255.188,255.178,255.194,3770,3752,3808,0.9999,0.9998,1.0000
clang++,final,-O1,noexecstack,50,255.190,255.180,255.203,3768,3756,3808,0.9999,0.9998,1.0000
clang++,final,-O1,pie,50,255.214,255.190,255.237,3808,3784,3812,1.0000,0.9999,1.0001
clang++,final,-O1,relro_full,50,255.195,255.185,255.207,3808,3762,3812,0.9999,0.9998,1.0000
clang++,final,-O1,safe_stack,50,255.305,255.288,255.312,3840,3836,3872,1.0004,1.0003,1.0004
clang++,final,-O1,stack_protector,50,255.187,255.176,255.195,3800,3752,3808,0.9999,0.9998,1.0000
clang++,final,-O1,stack_protector_all,50,255.194,255.188,255.203,3804,3756,3812,0.9999,0.9999,1.0000
clang++,final,-O1,stack_protector_strong,50,255.187,255.177,255.200,3764,3752,3806,0.9999,0.9998,1.0000
clang++,final,-O1,ubsan,50,249.621,249.557,249.762,4192,4136,4212,0.9781,0.9778,0.9786
clang++,final,-O2,asan,50,749.730,749.407,750.052,7854,7808,7904,2.9379,2.9366,2.9392
clang++,final,-O2,baseline,50,255.195,255.179,255.204,3760,3748,3808,,,
clang++,final,-O2,execstack,50,255.189,255.181,255.197,3764,3744,3812,1.0000,0.9999,1.0000
clang++,final,-O2,fortify1,50,431.392,430.931,431.752,3808,3764,3820,1.6904,1.6886,1.6920
clang++,final,-O2,fortify2,50,431.078,430.877,431.415,3808,3756,3832,1.6892,1.6884,1.6906
clang++,final,-O2,fortify_off,50,255.185,255.177,255.192,3812,3764,3824,1.0000,0.9999,1.0000
clang++,final,-O2,hardening_baseline,50,432.331,431.709,432.776,3802,3752,3818,1.6941,1.6917,1.6959
clang++,final,-O2,lto,50,255.188,255.180,255.195,3806,3766,3814,1.0000,0.9999,1.0000
clang++,final,-O2,msan,50,1438.211,1437.688,1438.695,6628,6576,6672,5.6357,5.6338,5.6377
clang++,final,-O2,no_pie,50,255.182,255.176,255.199,3784,3752,3808,0.9999,0.9999,1.0000
clang++,final,-O2,no_plt,50,216.831,216.819,216.836,3772,3752,3808,0.8497,0.8496,0.8497
clang++,final,-O2,no_stack_protector,50,255.194,255.185,255.208,3806,3756,3810,1.0000,0.9999,1.0001
clang++,final,-O2,noexecstack,50,255.191,255.182,255.207,3808,3752,3812,1.0000,0.9999,1.0001
clang++,final,-O2,pie,50,255.196,255.185,255.206,3812,3764,3828,1.0000,1.0000,1.0001
clang++,final,-O2,relro_full,50,255.204,255.192,255.214,3768,3748,3808,1.0000,1.0000,1.0001
clang++,final,-O2,safe_stack,50,255.300,255.287,255.313,3840,3836,3896,1.0004,1.0004,1.0005
clang++,final,-O2,stack_protector,50,255.197,255.179,255.211,3806,3752,3808,1.0000,0.9999,1.0001
clang++,final,-O2,stack_protector_all,50,255.195,255.186,255.204,3806,3760,3820,1.0000,1.0000,1.0001
clang++,final,-O2,stack_protector_strong,50,255.189,255.183,255.207,3784,3752,3808,1.0000,0.9999,1.0001
clang++,final,-O2,ubsan,50,249.560,249.537,249.580,4136,4132,4180,0.9779,0.9778,0.9780
clang++,final,-O3,asan,50,750.240,749.791,750.753,7786,7760,7888,2.9398,2.9380,2.9418
clang++,final,-O3,baseline,50,255.203,255.195,255.206,3808,3804,3828,,,
clang++,final,-O3,execstack,50,255.189,255.183,255.199,3766,3752,3812,0.9999,0.9999,1.0000
clang++,final,-O3,fortify1,50,431.255,431.007,431.751,3810,3760,3828,1.6898,1.6889,1.6918
clang++,final,-O3,fortify2,50,431.300,431.048,431.530,3804,3752,3808,1.6900,1.6890,1.6908
clang++,final,-O3,fortify_off,50,255.191,255.183,255.202,3768,3748,3808,1.0000,0.9999,1.0000
clang++,final,-O3,hardening_baseline,50,432.231,431.979,432.880,3808,3762,3816,1.6937,1.6927,1.6965
clang++,final,-O3,lto,50,255.189,255.177,255.200,3808,3790,3814,0.9999,0.9999,1.0000
clang++,final,-O3,msan,50,1438.388,1437.955,1438.800,6610,6600,6692,5.6363,5.6346,5.6379
clang++,final,-O3,no_pie,50,255.191,255.183,255.206,3804,3764,3812,1.0000,0.9999,1.0000
clang++,final,-O3,no_plt,50,216.827,216.820,216.834,3808,3768,3828,0.8496,0.8496,0.8497
clang++,final,-O3,no_stack_protector,50,255.200,255.185,255.206,3760,3748,3820,1.0000,0.9999,1.0000
clang++,final,-O3,noexecstack,50,255.190,255.179,255.200,3808,3768,3812,0.9999,0.9999,1.0000
clang++,final,-O3,pie,50,255.198,255.184,255.206,3764,3746,3810,1.0000,0.9999,1.0000
clang++,final,-O3,relro_full,50,255.197,255.191,255.210,3802,3758,3814,1.0000,1.0000,1.0000
clang++,final,-O3,safe_stack,50,255.304,255.295,255.328,3836,3836,3864,1.0004,1.0004,1.0005
clang++,final,-O3,stack_protector,50,255.188,255.178,255.201,3804,3760,3812,0.9999,0.9999,1.0000
clang++,final,-O3,stack_protector_all,50,255.196,255.188,255.205,3808,3764,3828,1.0000,0.9999,1.0000
clang++,final,-O3,stack_protector_strong,50,255.194,255.184,255.202,3808,3764,3812,1.0000,0.9999,1.0000
clang++,final,-O3,ubsan,50,249.555,249.526,249.568,4140,4132,4200,0.9779,0.9778,0.9779
clang++,final,-Ofast,asan,50,751.942,751.414,752.507,7832,7740,7854,2.9465,2.9444,2.9486
clang++,final,-Ofast,baseline,50,255.201,255.192,255.210,3772,3750,3808,,,
clang++,final,-Ofast,execstack,50,255.194,255.182,255.200,3806,3758,3812,1.0000,0.9999,1.0000
clang++,final,-Ofast,fortify1,50,431.154,430.954,431.409,3808,3776,3812,1.6895,1.6887,1.6904
clang++,final,-Ofast,fortify2,50,431.355,430.931,431.779,3806,3762,3814,1.6903,1.6886,1.6919
clang++,final,-Ofast,fortify_off,50,255.184,255.180,255.198,3792,3756,3808,0.9999,0.9999,1.0000
clang++,final,-Ofast,hardening_baseline,50,431.821,431.354,432.126,3808,3786,3828,1.6921,1.6902,1.6933
clang++,final,-Ofast,lto,50,255.187,255.178,255.206,3802,3752,3808,0.9999,0.9999,1.0000
clang++,final,-Ofast,msan,50,1445.214,1444.797,1445.835,6560,6544,6640,5.6631,5.6616,5.6654
clang++,final,-Ofast,no_pie,50,255.185,255.175,255.200,3808,3756,3828,0.9999,0.9999,1.0000
clang++,final,-Ofast,no_plt,50,216.835,216.829,216.855,3772,3762,3812,0.8497,0.8496,0.8497
clang++,final,-Ofast,no_stack_protector,50,255.188,255.176,255.204,3806,3748,3828,1.0000,0.9999,1.0000
clang++,final,-Ofast,noexecstack,50,255.187,255.176,255.193,3768,3752,3812,0.9999,0.9999,1.0000
clang++,final,-Ofast,pie,50,255.195,255.186,255.209,3808,3760,3812,1.0000,0.9999,1.0000
clang++,final,-Ofast,relro_full,50,255.190,255.182,255.199,3804,3752,3808,1.0000,0.9999,1.0000
clang++,final,-Ofast,safe_stack,50,255.304,255.285,255.316,3840,3836,3900,1.0004,1.0003,1.0005
clang++,final,-Ofast,stack_protector,50,255.184,255.174,255.195,3756,3748,3804,0.9999,0.9999,1.0000
clang++,final,-Ofast,stack_protector_all,50,255.194,255.187,255.211,3808,3778,3812,1.0000,0.9999,1.0000
clang++,final,-Ofast,stack_protector_strong,50,255.200,255.192,255.206,3808,3756,3812,1.0000,0.9999,1.0000
clang++,final,-Ofast,ubsan,50,249.543,249.532,249.560,4144,4136,4192,0.9778,0.9778,0.9779
clang++,final,-Os,asan,50,752.458,751.876,752.672,7850,7800,7868,2.9485,2.9463,2.9493
clang++,final,-Os,baseline,50,255.199,255.189,255.206,3804,3748,3812,,,
clang++,final,-Os,execstack,50,255.186,255.180,255.195,3806,3772,3812,0.9999,0.9999,1.0000
clang++,final,-Os,fortify1,50,434.221,433.950,434.475,3812,3804,3840,1.7015,1.7005,1.7025
clang++,final,-Os,fortify2,50,434.683,434.238,434.995,3808,3750,3832,1.7033,1.7016,1.7045
clang++,final,-Os,fortify_off,50,255.196,255.182,255.208,3802,3758,3812,1.0000,0.9999,1.0001
