compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
rustc,suma,-C opt-level=0,baseline,,rustc --edition 2021 /app/programs/suma.rs -C opt-level=0 -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_0__baseline,1,0.63,0.057,0.045,111544,4517552,354512,full,no,yes,yes,0,8,bd4ed50353a0af156c77462e86c824a96c737903d0eef6b9b88a97721fc78ed7,
rustc,suma,-C opt-level=0,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/suma.rs -C opt-level=0 -Z stack-protector=none -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_0__stack_protector_none,1,0.639,0.056,0.044,111816,4517552,354512,full,no,yes,yes,0,8,bd4ed50353a0af156c77462e86c824a96c737903d0eef6b9b88a97721fc78ed7,
rustc,suma,-C opt-level=0,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/suma.rs -C opt-level=0 -Z stack-protector=basic -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_0__stack_protector,1,0.735,0.072,0.028,111656,4518592,355512,full,yes,yes,yes,0,8,70bb78ab5e806b1d6a26685bbf8f3ded0558018d9983cb8d205357101b1dfb2e,
rustc,suma,-C opt-level=0,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/suma.rs -C opt-level=0 -Z stack-protector=strong -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_0__stack_protector_strong,1,0.679,0.08,0.021,111880,4518736,355656,full,yes,yes,yes,0,8,1fa833e208bd69576656450cc3c25ab3693b5e30a530a6f74ce2668882cd25a1,
rustc,suma,-C opt-level=0,stack_protector_all,-Z stack-protector=all,rustc --edition 2021 /app/programs/suma.rs -C opt-level=0 -Z stack-protector=all -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_0__stack_protector_all,1,0.741,0.058,0.046,111920,4520064,356984,full,yes,yes,yes,0,8,07c3b3c2a75f2af282e0d554985a0d2d81e986d214d502897e1e31431b7181e3,
rustc,suma,-C opt-level=1,baseline,,rustc --edition 2021 /app/programs/suma.rs -C opt-level=1 -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_1__baseline,1,0.884,0.083,0.034,108384,4510048,350704,full,no,yes,yes,0,8,118ce04b12ed2c7b887261907fa21e78e27d80d8d1d08d5f08af5d370a71820d,
rustc,suma,-C opt-level=1,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/suma.rs -C opt-level=1 -Z stack-protector=none -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_1__stack_protector_none,1,0.835,0.09,0.026,111112,4510048,350704,full,no,yes,yes,0,8,118ce04b12ed2c7b887261907fa21e78e27d80d8d1d08d5f08af5d370a71820d,
rustc,suma,-C opt-level=1,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/suma.rs -C opt-level=1 -Z stack-protector=basic -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_1__stack_protector,1,0.715,0.093,0.025,114920,4510272,350888,full,yes,yes,yes,0,8,36ac5249d215bbf7b139ace1c3c367b843d96f6e08a7493d61b0225483c8f3c0,
rustc,suma,-C opt-level=1,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/suma.rs -C opt-level=1 -Z stack-protector=strong -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_1__stack_protector_strong,1,0.787,0.098,0.017,114056,4510272,350888,full,yes,yes,yes,0,8,36ac5249d215bbf7b139ace1c3c367b843d96f6e08a7493d61b0225483c8f3c0,
rustc,suma,-C opt-level=1,stack_protector_all,-Z stack-protector=all,rustc --edition 2021 /app/programs/suma.rs -C opt-level=1 -Z stack-protector=all -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_1__stack_protector_all,1,0.824,0.074,0.042,114032,4510736,351352,full,yes,yes,yes,0,8,b0d7392f09df26e9a4cda1962aeb4d7f895424ffc07867328a3014af3299ded4,
rustc,suma,-C opt-level=2,baseline,,rustc --edition 2021 /app/programs/suma.rs -C opt-level=2 -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_2__baseline,1,0.906,0.083,0.041,112816,4509984,350640,full,no,yes,yes,0,8,d720f782cff40e5880bc561bd6ea5311f0f7384f1015d8f6323625edfd47db13,
rustc,suma,-C opt-level=2,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/suma.rs -C opt-level=2 -Z stack-protector=none -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_2__stack_protector_none,1,0.849,0.089,0.036,109616,4509984,350640,full,no,yes,yes,0,8,d720f782cff40e5880bc561bd6ea5311f0f7384f1015d8f6323625edfd47db13,
rustc,suma,-C opt-level=2,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/suma.rs -C opt-level=2 -Z stack-protector=basic -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_2__stack_protector,1,0.724,0.102,0.022,112172,4510208,350824,full,yes,yes,yes,0,8,b0051803b3ad8e72bfcf71ee5b10bbc7cf9b921e6c9db2b07ae3167ca8335688,
rustc,suma,-C opt-level=2,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/suma.rs -C opt-level=2 -Z stack-protector=strong -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_2__stack_protector_strong,1,0.749,0.083,0.041,113404,4510208,350824,full,yes,yes,yes,0,8,b0051803b3ad8e72bfcf71ee5b10bbc7cf9b921e6c9db2b07ae3167ca8335688,
rustc,suma,-C opt-level=2,stack_protector_all,-Z stack-protector=all,rustc --edition 2021 /app/programs/suma.rs -C opt-level=2 -Z stack-protector=all -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_2__stack_protector_all,1,0.895,0.098,0.029,117352,4510688,351304,full,yes,yes,yes,0,8,010c3317dd29ec5f96b2a277c6cb0e9adb03ad950e3f768151227309fd9f2163,
rustc,suma,-C opt-level=3,baseline,,rustc --edition 2021 /app/programs/suma.rs -C opt-level=3 -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_3__baseline,1,0.796,0.087,0.036,115008,4509984,350640,full,no,yes,yes,0,8,21e9e07333f39109ea0369b4c27dbc537620a8a43269ef847a49e8e60eaee351,
rustc,suma,-C opt-level=3,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/suma.rs -C opt-level=3 -Z stack-protector=none -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_3__stack_protector_none,1,0.855,0.099,0.023,112840,4509984,350640,full,no,yes,yes,0,8,21e9e07333f39109ea0369b4c27dbc537620a8a43269ef847a49e8e60eaee351,
rustc,suma,-C opt-level=3,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/suma.rs -C opt-level=3 -Z stack-protector=basic -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_3__stack_protector,1,0.873,0.1,0.024,110548,4510208,350824,full,yes,yes,yes,0,8,dd7f5962bbc656c89507d2eb749391a71ea2b95564bc5cb11f41da16d0bb8149,
rustc,suma,-C opt-level=3,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/suma.rs -C opt-level=3 -Z stack-protector=strong -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_3__stack_protector_strong,1,0.901,0.097,0.029,109900,4510208,350824,full,yes,yes,yes,0,8,dd7f5962bbc656c89507d2eb749391a71ea2b95564bc5cb11f41da16d0bb8149,
rustc,suma,-C opt-level=3,stack_protector_all,-Z stack-protector=all,rustc --edition 2021 /app/programs/suma.rs -C opt-level=3 -Z stack-protector=all -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_3__stack_protector_all,1,0.731,0.089,0.038,111748,4510688,351304,full,yes,yes,yes,0,8,0312a6f3bb75843388730ef9141c465b80d00d54df85d643ac2a798160122b12,
rustc,suma,-C opt-level=s,baseline,,rustc --edition 2021 /app/programs/suma.rs -C opt-level=s -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_s__baseline,1,0.678,0.082,0.033,109800,4509664,350320,full,no,yes,yes,0,8,7d6860c3c0f4e55301e55c47af052c6f3b396af11e0458068d3e79d7af135830,
