compiler,program,opt,flag_id,sweep,is_warmup,wall_s,user_s,sys_s,max_rss_kb,exit_code,term_signal,output_ok,min_flt,maj_flt,vol_cs,invol_cs,instructions,cycles,branch_misses,cache_misses,energy_pkg_uj,energy_cores_uj,epoch_s,error
rustc,suma,-C opt-level=0,baseline,0,1,5.283266,5.243123,0.004002,5684,0,,1,560,5,7,27,19036274013,17776886449,4131,13519535,65432022,63810445,1784494923,
rustc,suma,-C opt-level=0,stack_protector_none,0,1,5.255038,5.250827,0.003999,5764,0,,1,558,0,1,30,19036275342,17804564735,4957,13592494,65631973,63848042,1784494929,
rustc,suma,-C opt-level=0,stack_protector,0,1,5.422659,5.422312,0.0,5976,0,,1,1076,0,1,32,21036282326,18369936836,4347,13257736,66388624,64782855,1784494934,
rustc,suma,-C opt-level=0,stack_protector_strong,0,1,5.401465,5.401301,0.0,5884,0,,1,562,0,1,27,21036282461,18301851946,4479,13052038,66353956,64755693,1784494940,
rustc,suma,-C opt-level=0,stack_protector_all,0,1,6.074782,6.074533,0.0,5748,0,,1,557,0,1,31,28642293111,20583824247,4606,14825750,76874925,75079459,1784494946,
rustc,suma,-C opt-level=1,baseline,0,1,0.166662,0.162661,0.003967,5776,0,,1,561,0,1,1,1100796205,558718225,4515,98122,1663143,1620235,1784494946,
rustc,suma,-C opt-level=1,stack_protector_none,0,1,0.16663,0.162625,0.003966,5752,0,,1,561,0,1,1,1100796735,558672501,4143,71175,1680965,1627865,1784494946,
rustc,suma,-C opt-level=1,stack_protector,0,1,0.166686,0.16267,0.003967,5756,0,,1,563,0,1,2,1100795087,558586986,4536,255503,2156122,2103815,1784494946,
rustc,suma,-C opt-level=1,stack_protector_strong,0,1,0.166496,0.162484,0.003963,5756,0,,1,562,0,1,3,1100795403,558111772,4336,184894,1934626,1882075,1784494946,
rustc,suma,-C opt-level=1,stack_protector_all,0,1,0.16671,0.162695,0.003968,5760,0,,1,563,0,1,2,1100795496,558857471,4252,98871,1795100,1740596,1784494946,
rustc,suma,-C opt-level=2,baseline,0,1,0.050992,0.047036,0.003919,5900,0,,1,564,0,1,1,650632843,166698447,4221,101620,708068,694762,1784494947,
rustc,suma,-C opt-level=2,stack_protector_none,0,1,0.050722,0.050682,0.0,5892,0,,1,564,0,1,1,650633045,165724541,4247,25555,643065,627134,1784494947,
rustc,suma,-C opt-level=2,stack_protector,0,1,0.050589,0.050555,0.0,5692,0,,1,563,0,1,1,650631718,165473274,4155,15283,625243,608213,1784494947,
rustc,suma,-C opt-level=2,stack_protector_strong,0,1,0.05073,0.046788,0.003899,5656,0,,1,562,0,1,2,650632001,165872120,4434,27638,634642,619383,1784494947,
rustc,suma,-C opt-level=2,stack_protector_all,0,1,0.050707,0.046772,0.003897,5860,0,,1,564,0,1,1,650631419,165821033,4192,33975,638975,623106,1784494947,
rustc,suma,-C opt-level=3,baseline,0,1,0.0507,0.046754,0.003896,5852,0,,1,563,0,1,2,650633071,165679941,4097,21972,628721,624571,1784494947,
rustc,suma,-C opt-level=3,stack_protector_none,0,1,0.050656,0.050615,0.0,5648,0,,1,562,0,1,2,650632479,165596029,4005,15617,616759,611448,1784494947,
rustc,suma,-C opt-level=3,stack_protector,0,1,0.050643,0.050606,0.0,5764,0,,1,562,0,1,1,650631728,165511171,4203,19497,638365,634154,1784494947,
rustc,suma,-C opt-level=3,stack_protector_strong,0,1,0.050613,0.050577,0.0,5892,0,,1,565,0,1,1,650632283,165483680,4088,12978,621886,617308,1784494947,
rustc,suma,-C opt-level=3,stack_protector_all,0,1,0.050666,0.050627,0.0,5888,0,,1,563,0,1,1,650631584,165671200,4046,26973,622313,617613,1784494947,
rustc,suma,-C opt-level=s,baseline,0,1,0.120901,0.120854,0.0,5904,0,,1,565,0,1,2,1004253285,403523034,4141,93416,1610104,1577267,1784494947,
rustc,suma,-C opt-level=s,stack_protector_none,0,1,0.121042,0.116958,0.004033,5880,0,,1,564,0,1,2,1004253772,403967187,4147,166693,1708980,1671932,1784494947,
rustc,suma,-C opt-level=s,stack_protector,0,1,0.093494,0.093458,0.0,5756,0,,1,563,0,1,1,1004255006,310753428,4077,57257,1126523,1097165,1784494947,
rustc,suma,-C opt-level=s,stack_protector_strong,0,1,0.093616,0.093574,0.0,5884,0,,1,562,0,1,1,1004254365,311055031,4265,85511,1253598,1216061,1784494947,
rustc,suma,-C opt-level=s,stack_protector_all,0,1,0.093609,0.089501,0.004068,5716,0,,1,562,0,1,1,1004254526,311051055,4013,150041,1063596,1032591,1784494948,
rustc,suma,-C opt-level=z,baseline,0,1,0.120758,0.120721,0.0,5752,0,,1,561,0,1,1,1205253322,403199557,4127,47753,1555660,1518062,1784494948,
rustc,suma,-C opt-level=z,stack_protector_none,0,1,0.120815,0.116877,0.003895,5876,0,,1,563,0,1,2,1205253383,403349780,4173,70553,1546810,1512814,1784494948,
