compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
clang++,final,-O0,asan,50,756.542,756.305,756.894,11852,10914,12896,2.9849,2.9835,2.9873
clang++,final,-O0,baseline,50,253.453,253.298,253.556,3766,3756,3804,,,
clang++,final,-O0,execstack,50,253.415,253.265,253.575,3804,3754,3824,0.9998,0.9992,1.0008
clang++,final,-O0,fortify1,50,253.492,253.333,253.843,3800,3752,3808,1.0002,0.9994,1.0014
clang++,final,-O0,fortify2,50,253.293,253.147,253.512,3808,3764,3814,0.9994,0.9986,1.0004
clang++,final,-O0,fortify_off,50,253.306,253.187,253.375,3808,3764,3824,0.9994,0.9988,1.0001
clang++,final,-O0,hardening_baseline,50,252.247,252.242,252.257,3806,3750,3820,0.9952,0.9948,0.9959
clang++,final,-O0,lto,50,253.417,253.339,253.553,3800,3752,3812,0.9999,0.9994,1.0007
clang++,final,-O0,msan,50,1480.742,1480.008,1481.401,6738,6668,8496,5.8423,5.8385,5.8467
clang++,final,-O0,no_pie,50,252.271,252.244,254.895,3806,3800,3826,0.9953,0.9950,1.0057
clang++,final,-O0,no_plt,50,247.829,247.812,247.847,3804,3758,3808,0.9778,0.9774,0.9784
clang++,final,-O0,no_stack_protector,50,253.456,253.316,253.685,3800,3754,3808,1.0000,0.9993,1.0012
clang++,final,-O0,noexecstack,50,253.439,253.312,253.516,3808,3800,3812,0.9999,0.9993,1.0007
clang++,final,-O0,pie,50,253.275,253.191,253.426,3778,3752,3808,0.9993,0.9988,1.0002
clang++,final,-O0,relro_full,50,253.129,252.972,254.295,3810,3786,3828,0.9987,0.9979,1.0029
clang++,final,-O0,safe_stack,50,258.249,258.237,258.259,3840,3836,3892,1.0189,1.0185,1.0195
clang++,final,-O0,stack_protector,50,252.234,252.225,252.248,3806,3752,3812,0.9952,0.9948,0.9958
clang++,final,-O0,stack_protector_all,50,252.246,252.230,252.260,3808,3748,3824,0.9952,0.9948,0.9959
clang++,final,-O0,stack_protector_strong,50,252.247,252.232,252.256,3804,3748,3810,0.9952,0.9949,0.9959
clang++,final,-O0,ubsan,50,283.983,283.553,284.219,4194,4140,4234,1.1205,1.1187,1.1216
clang++,final,-O1,asan,50,749.633,749.396,749.927,11846,10988,12896,2.9375,2.9365,2.9386
clang++,final,-O1,baseline,50,255.197,255.188,255.214,3804,3764,3810,,,
clang++,final,-O1,execstack,50,255.190,255.178,255.204,3784,3752,3808,1.0000,0.9999,1.0000
